Первая команда	Соперник	Время	Дата	Поле	Группа
НИЖНИЕ КИГИ	АТАВДЫ	09:00	10 июля	1	Группа A
ЮЛУК	КИЛЬМЯК	09:00	10 июля	2	Группа B
БАЙГАЗИНА	УРАЗОВО	09:00	10 июля	3	Группа C
ПАВЛОДАР	АСКАРОВО	09:25	10 июля	1	Группа D
АМАНГИЛЬДИНО	АРГАЯШ	09:25	10 июля	2	Группа E
БОЛЬШАЯ ЧЕРНИГОВКА	КУБАГУШЕВО	09:25	10 июля	3	Группа F
КУТУЕВО-2	СТАРОСУБХАНГУЛОВО	09:50	10 июля	1	Группа G
ЕЛЫШЕВО	ЦЕЛИННЫЙ	09:50	10 июля	2	Группа H
БУРАЕВО	ИШАЛИНО	09:50	10 июля	3	Группа I
БУРИБАЙ	ИНЗЕР	10:15	10 июля	1	Группа J
АРАСЛАНОВА	КАБАКУШ	10:15	10 июля	2	Группа K
БЕЛОЕ ОЗЕРО	СОВХОЗ ТАТАРСТАН	10:15	10 июля	3	Группа L
ТАШТУЙ	КУТУЕВО	10:40	10 июля	1	Группа A
ИШБУЛДИНО	МАВЛЮТОВА	10:40	10 июля	2	Группа B
ЦЕЛИННОЕ	СТАРОАРЗАМАТОВО	10:40	10 июля	3	Группа C
УРАЛЬСК	БУЗДЯК	11:05	10 июля	1	Группа D
ТАШТИМЕРОВО	БОЛЬШИЕ МОТЫКАЛЫ	11:05	10 июля	2	Группа E
ЯЗЫКОВО	МИХАЙЛОВКА	11:05	10 июля	3	Группа F
МЕЖОЗЕРНЫЙ	ФИЛИМОНОВО	11:30	10 июля	1	Группа G
КУНДРАВЫ	КРАСНАЯ БАШКИРИЯ	11:30	10 июля	2	Группа H
РАЕВСКИЙ	СУРАМАНОВО	11:30	10 июля	3	Группа I
ПРИМОРСКИЙ	НОВОМУСЯТОВО	11:55	10 июля	1	Группа J
АКЪЯР	КРАСНОУСОЛЬСКИЙ	11:55	10 июля	2	Группа K
ИШМЕКЕЕВО	НИЖНЕСОРОКИНО	11:55	10 июля	3	Группа L
НИЖНИЕ КИГИ	ТАШТУЙ	12:20	10 июля	1	Группа A
ЮЛУК	ИШБУЛДИНО	12:20	10 июля	2	Группа B
БАЙГАЗИНА	ЦЕЛИННОЕ	12:20	10 июля	3	Группа C
ПАВЛОДАР	УРАЛЬСК	12:45	10 июля	1	Группа D
АМАНГИЛЬДИНО	ТАШТИМЕРОВО	12:45	10 июля	2	Группа E
БОЛЬШАЯ ЧЕРНИГОВКА	ЯЗЫКОВО	12:45	10 июля	3	Группа F
КУТУЕВО-2	МЕЖОЗЕРНЫЙ	13:10	10 июля	1	Группа G
ЕЛЫШЕВО	КУНДРАВЫ	13:10	10 июля	2	Группа H
БУРАЕВО	РАЕВСКИЙ	13:10	10 июля	3	Группа I
БУРИБАЙ	ПРИМОРСКИЙ	13:35	10 июля	1	Группа J
АРАСЛАНОВА	АКЪЯР	13:35	10 июля	2	Группа K
БЕЛОЕ ОЗЕРО	ИШМЕКЕЕВО	13:35	10 июля	3	Группа L
АТАВДЫ	КУТУЕВО	14:00	10 июля	1	Группа A
КИЛЬМЯК	МАВЛЮТОВА	14:00	10 июля	2	Группа B
УРАЗОВО	СТАРОАРЗАМАТОВО	14:00	10 июля	3	Группа C
АСКАРОВО	БУЗДЯК	14:25	10 июля	1	Группа D
АРГАЯШ	БОЛЬШИЕ МОТЫКАЛЫ	14:25	10 июля	2	Группа E
КУБАГУШЕВО	МИХАЙЛОВКА	14:25	10 июля	3	Группа F
СТАРОСУБХАНГУЛОВО	ФИЛИМОНОВО	14:50	10 июля	1	Группа G
ЦЕЛИННЫЙ	КРАСНАЯ БАШКИРИЯ	14:50	10 июля	2	Группа H
ИШАЛИНО	СУРАМАНОВО	14:50	10 июля	3	Группа I
ИНЗЕР	НОВОМУСЯТОВО	15:15	10 июля	1	Группа J
КАБАКУШ	КРАСНОУСОЛЬСКИЙ	15:15	10 июля	2	Группа K
СОВХОЗ ТАТАРСТАН	НИЖНЕСОРОКИНО	15:15	10 июля	3	Группа L
НИЖНИЕ КИГИ	КУТУЕВО	15:40	10 июля	1	Группа A
ЮЛУК	МАВЛЮТОВА	15:40	10 июля	2	Группа B
БАЙГАЗИНА	СТАРОАРЗАМАТОВО	15:40	10 июля	3	Группа C
ПАВЛОДАР	БУЗДЯК	16:05	10 июля	1	Группа D
АМАНГИЛЬДИНО	БОЛЬШИЕ МОТЫКАЛЫ	16:05	10 июля	2	Группа E
БОЛЬШАЯ ЧЕРНИГОВКА	МИХАЙЛОВКА	16:05	10 июля	3	Группа F
КУТУЕВО-2	ФИЛИМОНОВО	16:30	10 июля	1	Группа G
ЕЛЫШЕВО	КРАСНАЯ БАШКИРИЯ	16:30	10 июля	2	Группа H
БУРАЕВО	СУРАМАНОВО	16:30	10 июля	3	Группа I
БУРИБАЙ	НОВОМУСЯТОВО	16:55	10 июля	1	Группа J
АРАСЛАНОВА	КРАСНОУСОЛЬСКИЙ	16:55	10 июля	2	Группа K
БЕЛОЕ ОЗЕРО	НИЖНЕСОРОКИНО	16:55	10 июля	3	Группа L
АТАВДЫ	ТАШТУЙ	17:20	10 июля	1	Группа A
КИЛЬМЯК	ИШБУЛДИНО	17:20	10 июля	2	Группа B
УРАЗОВО	ЦЕЛИННОЕ	17:20	10 июля	3	Группа C
АСКАРОВО	УРАЛЬСК	17:45	10 июля	1	Группа D
АРГАЯШ	ТАШТИМЕРОВО	17:45	10 июля	2	Группа E
КУБАГУШЕВО	ЯЗЫКОВО	17:45	10 июля	3	Группа F
СТАРОСУБХАНГУЛОВО	МЕЖОЗЕРНЫЙ	18:10	10 июля	1	Группа G
ЦЕЛИННЫЙ	КУНДРАВЫ	18:10	10 июля	2	Группа H
